METHODES;Genre;EPITHETE;CIRCONFERENCE EN CM;DIAMETRE EN CM;Altitude en m;groupe;espece;Height;volume_en_m3;BasalArea;WoodDensity;Superficie_ha
P2;Hagenia;abyssinica;43;13,69426752;2450;Placeau;Hagenia abyssinica;7,01;101,75;0,01;0,57;2
P2;Hagenia;abyssinica;59;18,78980892;2450;Placeau;Hagenia abyssinica;8,61;235,28;0,03;0,57;2
P2;Hagenia;abyssinica;93;29,61783439;2450;Placeau;Hagenia abyssinica;10,51;713,57;0,07;0,57;2
P2;Hagenia;abyssinica;50;15,92356688;2450;Placeau;Hagenia abyssinica;7,8;153,08;0,02;0,57;2
P2;Hagenia;abyssinica;42;13,37579618;2450;Placeau;Hagenia abyssinica;6,88;95,27;0,01;0,57;2
P2;Hagenia;abyssinica;43;13,69426752;2450;Placeau;Hagenia abyssinica;7,01;101,75;0,01;0,57;2
P2;Hagenia;abyssinica;40;12,7388535;2450;Placeau;Hagenia abyssinica;6,61;83,02;0,01;0,57;2
P2;Hagenia;abyssinica;60;19,10828025;2450;Placeau;Hagenia abyssinica;8,69;245,58;0,03;0,57;2
P2;Hagenia;abyssinica;58;18,47133758;2450;Placeau;Hagenia abyssinica;8,53;225,26;0,03;0,57;2
P2;Hagenia;abyssinica;41;13,05732484;2450;Placeau;Hagenia abyssinica;6,74;88,94;0,01;0,57;2
P2;Hagenia;abyssinica;40;12,7388535;2450;Placeau;Hagenia abyssinica;6,61;83,02;0,01;0,57;2
P2;Hagenia;abyssinica;76;24,20382166;2450;Placeau;Hagenia abyssinica;9,73;441,17;0,05;0,57;2
P2;Macaranga;neomildbraediana;50;15,92356688;2450;Placeau;Macaranga neomildbraediana;7,8;153,08;0,02;0,38;2
P2;Macaranga;neomildbraediana;73;23,24840764;2450;Placeau;Macaranga neomildbraediana;9,56;399,92;0,04;0,38;2
P2;Macaranga;neomildbraediana;42;13,37579618;2450;Placeau;Macaranga neomildbraediana;6,88;95,27;0,01;0,38;2
P2;Macaranga;neomildbraediana;89;28,34394904;2450;Placeau;Macaranga neomildbraediana;10,35;643,56;0,06;0,38;2
P2;Macaranga;neomildbraediana;39;12,42038217;2450;Placeau;Macaranga neomildbraediana;6,46;77,13;0,01;0,38;2
P2;Macaranga;neomildbraediana;49;15,60509554;2450;Placeau;Macaranga neomildbraediana;7,7;145,13;0,02;0,38;2
P2;Macaranga;neomildbraediana;61;19,42675159;2450;Placeau;Macaranga neomildbraediana;8,77;256,17;0,03;0,38;2
P2;Macaranga;neomildbraediana;70;22,29299363;2450;Placeau;Macaranga neomildbraediana;9,38;360,8;0,04;0,38;2
P2;Macaranga;neomildbraediana;69;21,97452229;2450;Placeau;Macaranga neomildbraediana;9,32;348,32;0,04;0,38;2
P2;Macaranga;neomildbraediana;92;29,29936306;2450;Placeau;Macaranga neomildbraediana;10,47;695,65;0,07;0,38;2
P2;Macaranga;neomildbraediana;63;20,06369427;2450;Placeau;Macaranga neomildbraediana;8,92;277,92;0,03;0,38;2
P2;Macaranga;neomildbraediana;79;25,15923567;2450;Placeau;Macaranga neomildbraediana;9,89;484,53;0,05;0,38;2
P2;Macaranga;neomildbraediana;120;38,21656051;2450;Placeau;Macaranga neomildbraediana;11,36;1284,13;0,11;0,38;2
P2;Macaranga;neomildbraediana;61;19,42675159;2450;Placeau;Macaranga neomildbraediana;8,77;256,17;0,03;0,38;2
P2;Macaranga;neomildbraediana;47;14,96815287;2450;Placeau;Macaranga neomildbraediana;7,48;129,71;0,02;0,38;2
